"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HOXD11",9.3213467516015,2.83178225817021,0.78907987116551,3.58871435154914,0.00033231270426653,0.0491535135401978
"ANO5",223.598595959787,2.49360550975769,0.665133527392684,3.74902994220213,0.000177519892424538,0.0353337539305278
"BCL2A1",241.538182116972,1.97267672012984,0.482704741616159,4.08671502485155,4.37523985534229e-05,0.0141238944314645
"TNFSF9",179.812044260149,3.19195304200051,0.576298436767058,5.53871542651904,3.04698280971861e-08,5.57733211537522e-05
"S100A3",169.289503771657,2.51781502734927,0.625363363451421,4.0261633068066,5.66943216027823e-05,0.0162310193925231
"CD70",69.7111393099979,2.8676057968524,0.660970901312393,4.33847509952196,1.43474736673096e-05,0.00772106638466699
"EBI3",152.178809317739,1.84962897552061,0.506888526681045,3.64898568060207,0.000263277777020571,0.0443582511386422
"TNFAIP6",331.378407638486,2.32402988054742,0.608025064737497,3.8222599944145,0.000132234159012296,0.0282553283889509
"HSPA6",295.956599758823,1.74284063426359,0.482881069272679,3.60925442136026,0.000307078324914724,0.0475754357617784
"SAA2",226.954514123807,3.70538646187132,0.758697567813794,4.88387813414044,1.04019378442298e-06,0.00125950130730549
"SLCO4A1",385.555586844713,2.44162826788791,0.589479669421454,4.14200589866695,3.44281486611106e-05,0.0122253728101959
"IRAK2",411.365654974855,1.794927047844,0.498960559418201,3.59733252250825,0.000321497370177483,0.0491535135401978
"CHIT1",213.097902854465,2.42543650832099,0.656860646799638,3.69246737513995,0.000222088838509834,0.0408474787790872
"MMP3",31.9582823162527,4.20422680728299,0.844481065826542,4.97847373661134,6.40876376183809e-07,0.000931193374595075
"PRKCB",420.805319938115,1.84701082177758,0.494829594753731,3.73261995919384,0.000189498399034863,0.0367121565063541
"BATF2",659.208074805572,1.84165857853513,0.448532689378696,4.1059628922168,4.02634118983444e-05,0.0139292232114987
"FOXB1",163.695617050178,5.75938678494755,0.985281434367399,5.84542302742705,5.05282541681983e-09,1.8354388326598e-05
"KCNS1",296.886730012094,2.088870359624,0.563703167463081,3.70562111443308,0.000210873332675922,0.0392819169715532
"FAM155B",673.744678658777,2.3755948501989,0.589564950764109,4.0294031168576,5.59186557974597e-05,0.0162310193925231
"MMP12",661.746698899324,5.40203015160993,0.722189038171992,7.48007774430303,7.42786563762022e-14,1.07926887714622e-09
"PTGER1",521.359558903859,2.63521557454664,0.628728499331136,4.19134105953536,2.77310424585688e-05,0.0119344089559389
"CXCL5",345.120956459808,3.8908496536187,0.790701666330715,4.9207556013817,8.62107300765251e-07,0.00113876537091992
"CPNE7",227.543337440116,2.35752083241283,0.585990930166735,4.0231353610576,5.74284678822344e-05,0.0162310193925231
"COL13A1",698.574335307592,2.14109737632576,0.575525499201126,3.72024763333295,0.000199027533473286,0.03805092186009
