,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000000005.6,9.117408546,-1.776882597,0.157790621,-11.26101527,2.04E-29,2.21E-28
ENSG00000000971.16,726.44623,-1.386063013,0.116911395,-11.85567082,2.01E-32,2.54E-31
ENSG00000001036.14,937.1236208,-1.320769871,0.091265816,-14.47168206,1.83E-47,4.75E-46
ENSG00000001460.18,350.324457,-1.543170796,0.141263169,-10.92408449,8.84E-28,8.80E-27
ENSG00000001617.12,247.703353,-1.399919441,0.120801694,-11.58857462,4.71E-31,5.56E-30
NA,NA,NA,NA,NA,NA,NA
ENSG00000002745.13,56.26017469,-4.177145899,0.199259682,-20.96332713,1.42E-97,2.52E-95
ENSG00000002933.9,1391.031106,-1.656939732,0.133422043,-12.41878549,2.07E-35,3.04E-34
ENSG00000003249.15,1552.014638,-1.307277692,0.119234628,-10.96390967,5.70E-28,5.73E-27
ENSG00000004776.13,334.5947796,-2.404467335,0.157191839,-15.29638784,8.08E-53,2.62E-51
ENSG00000004838.14,317.5293497,-2.885065818,0.131423048,-21.95251029,8.19E-107,2.09E-104
ENSG00000004846.16,1.484278114,-1.870087569,0.270433002,-6.915160324,4.67E-12,1.71E-11
ENSG00000004848.8,256.6366205,-1.532596956,0.173498892,-8.833468288,1.01E-18,5.89E-18
ENSG00000005020.13,1441.034528,-1.846784231,0.110149319,-16.76618841,4.31E-63,2.17E-61
ENSG00000005059.16,414.4956206,-2.20309462,0.111124608,-19.82544338,1.80E-87,2.08E-85
ENSG00000005884.18,2294.007225,-1.612041578,0.109787345,-14.68330965,8.25E-49,2.26E-47
ENSG00000006327.14,848.8299915,-2.224592683,0.171273498,-12.98854,1.42E-38,2.43E-37
ENSG00000006555.11,9.92012077,-1.212030497,0.188950393,-6.414543388,1.41E-10,4.63E-10
ENSG00000006659.13,0.339735208,-1.108018295,0.476131857,-2.327124888,0.019958619,0.03006229
ENSG00000006756.16,681.3221573,-1.876631523,0.088787453,-21.13622434,3.69E-99,6.93E-97
ENSG00000006757.12,449.1362541,-1.954641354,0.119598849,-16.34331238,4.85E-60,2.22E-58
ENSG00000007038.11,4.348566362,-1.163399626,0.178410683,-6.520907877,6.99E-11,2.34E-10
ENSG00000007062.12,658.4522446,-1.578929169,0.106935273,-14.76527928,2.45E-49,6.84E-48
ENSG00000007171.18,286.9934689,-2.49195018,0.140387966,-17.75045435,1.71E-70,1.11E-68
ENSG00000007174.18,624.1877227,-2.274200349,0.1243489,-18.2888658,1.02E-74,8.00E-73
ENSG00000007312.13,11.32249813,-1.201244494,0.153587932,-7.821216692,5.23E-15,2.37E-14
ENSG00000007314.12,11.45185698,-2.186220876,0.142247248,-15.36916118,2.64E-53,8.69E-52
ENSG00000007384.15,1014.2956,-1.12569193,0.107327902,-10.48834374,9.77E-26,8.58E-25
ENSG00000007866.22,222.7005261,-1.831776149,0.109586749,-16.71530695,1.01E-62,5.03E-61
ENSG00000008196.13,30.23462636,-2.679324234,0.427339136,-6.269784368,3.62E-10,1.14E-09
ENSG00000008283.16,1109.362774,-1.066939964,0.105133971,-10.14838452,3.37E-24,2.71E-23
ENSG00000008323.15,10.82555629,-1.144555233,0.154007083,-7.431835004,1.07E-13,4.43E-13
ENSG00000010030.14,55.25043468,-2.257948994,0.13056885,-17.29316745,5.30E-67,3.06E-65
ENSG00000010704.18,215.0122299,-1.922399612,0.084455185,-22.76236353,1.08E-114,3.68E-112
ENSG00000010932.17,12.01849481,-1.412712622,0.145047109,-9.739681334,2.04E-22,1.49E-21
ENSG00000011028.14,3884.248707,-1.885111007,0.107866995,-17.47625396,2.17E-68,1.35E-66
NA.1,NA,NA,NA,NA,NA,NA
ENSG00000011422.12,394.9970579,-1.643201871,0.133181009,-12.33810951,5.65E-35,8.14E-34
ENSG00000011638.11,281.9530075,-1.20456828,0.094858399,-12.69859384,6.02E-37,9.45E-36
ENSG00000012211.13,91.00700367,-2.059592148,0.073193457,-28.13902008,3.27E-174,3.81E-171
ENSG00000012223.13,3244.655215,-4.921140252,0.307169806,-16.02091142,9.13E-58,3.71E-56
ENSG00000013588.9,154.7060012,-1.708985442,0.223374432,-7.650765701,2.00E-14,8.70E-14
