"","ENSG00000277655.1","ENSG00000237187.9","ENSG00000146278.11","ENSG00000260851.7","ENSG00000262663.1","ENSG00000188585.9","ENSG00000138646.9","ENSG00000243316.7","ENSG00000148400.12","ENSG00000236712.1","ENSG00000286951.1","ENSG00000278395.1","ENSG00000275088.1","ENSG00000259130.2","ENSG00000277972.2","ENSG00000173930.9","ENSG00000251977.1","ENSG00000229169.1","ENSG00000254398.1","ENSG00000252651.1","ENSG00000214245.3","ENSG00000271803.1","ENSG00000267116.1","ENSG00000164070.12","ENSG00000236733.1","ENSG00000244255.5","ENSG00000168724.17","ENSG00000277391.1","ENSG00000184575.12","ENSG00000149451.18","ENSG00000233357.2","ENSG00000262730.1","ENSG00000223315.1","ENSG00000005486.17","ENSG00000159409.15","ENSG00000254820.1","ENSG00000243849.2","ENSG00000127241.18","ENSG00000204780.5","ENSG00000001626.16","ENSG00000265144.1","ENSG00000236797.1","ENSG00000252686.1","ENSG00000177173.5","ENSG00000224634.1","ENSG00000265014.1","ENSG00000006638.13","ENSG00000278497.1","ENSG00000230758.1","ENSG00000239614.1"
"TCGA-CS-4944-01A-01R-1470-07",0,3280,2459,9,0,0,657,0,7964,0,0,0,7,5,881,3,0,0,1,0,0,0,0,910,0,0,1108,0,6156,54,0,0,0,10007,476,0,1,7034,0,11,0,1,0,4,0,0,59,0,0,1
"TCGA-HT-7680-01A-11R-2256-07",0,4169,6095,5,1,1,2021,0,6910,1,0,0,44,0,1128,11,0,0,0,0,0,0,0,2959,0,0,2589,0,8014,90,0,0,0,7899,90,0,7,20298,0,333,0,2,0,3,0,0,36,0,1,2
"TCGA-DB-5279-01A-03R-2347-07",0,4980,7569,6,7,1,168,0,14180,3,2,0,39,24,1367,29,0,0,5,0,0,2,0,2578,0,0,1975,0,7967,67,0,0,0,15099,4168,0,2,10927,0,68,0,1,0,3,0,0,95,0,1,2
"TCGA-DB-5273-01A-01R-1470-07",0,2116,3945,11,0,0,1106,0,11991,2,0,0,2,14,845,0,0,0,0,0,0,1,0,964,1,0,1267,0,6814,55,0,0,0,11905,1182,0,0,16175,0,40,0,0,0,1,0,0,206,0,0,0
"TCGA-TM-A84C-01A-11R-A36H-07",0,1389,3060,8,21,0,1355,1,7682,0,0,0,0,0,613,1,0,0,4,0,0,4,0,1556,0,0,1731,1,17719,229,0,0,0,10687,985,0,2,1741,0,105,0,4,0,9,0,0,48,0,0,0
"TCGA-CS-6290-01A-11R-1708-07",1,2179,3423,6,37,3,1836,0,9011,1,0,0,5,3,861,2,0,0,1,0,0,1,0,561,0,0,977,0,5565,69,0,0,0,6918,540,0,1,6263,0,124,1,2,0,6,0,0,112,0,1,1
"TCGA-HW-A5KJ-01A-12R-A27Q-07",0,1398,2940,6,1,0,149,0,6794,0,0,0,16,8,697,3,0,0,16,0,0,0,0,1207,0,0,1215,0,6089,365,0,0,0,9079,5086,0,3,2749,0,245,0,2,0,0,0,0,35,0,2,0
"TCGA-HT-7608-01A-11R-2090-07",0,2439,3252,11,3,0,551,0,10867,0,0,0,10,7,909,4,0,0,2,0,0,0,0,1952,0,0,1495,0,6439,73,0,0,0,11960,1194,0,1,18129,0,53,0,2,0,4,0,0,33,0,1,2
"TCGA-P5-A5F6-01A-11R-A28M-07",0,2244,2752,0,13,0,3563,0,1034,0,2,0,191,0,544,0,0,0,1,0,0,0,0,2478,0,0,2857,0,3965,0,0,0,0,9782,696,0,3,5,0,2,0,1,0,20,0,0,60,0,3,0
"TCGA-P5-A736-01A-11R-A32Q-07",0,2750,2632,11,5,0,629,0,6900,0,0,0,4,2,1001,4,0,0,2,0,0,0,0,540,0,0,1489,0,4203,110,0,0,0,8380,715,0,1,6663,0,29,0,1,0,2,0,0,151,0,0,0
"TCGA-DU-8158-01A-11R-2256-07",7,2762,4022,4,11,1,2606,0,16192,0,0,0,21,7,1132,2,0,0,4,0,0,2,0,5620,1,0,2753,0,12528,781,0,0,0,16531,951,0,0,12310,0,100,0,3,0,10,0,0,85,0,1,2
