,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000001626.16,203.3897673,1.19068525,0.108568101,10.96717397,5.50E-28,5.53E-27
ENSG00000005421.9,74.7847124,1.339156235,0.154293209,8.679294711,3.98E-18,2.22E-17
ENSG00000005513.10,44901.76993,2.224506787,0.103256279,21.54354973,6.09E-103,1.36E-100
ENSG00000006071.15,2620.448197,1.953538735,0.15634013,12.4954401,7.91E-36,1.19E-34
ENSG00000006468.14,18827.35122,1.286912526,0.117208144,10.9797193,4.78E-28,4.83E-27
ENSG00000006611.17,2983.818746,2.616853842,0.177272519,14.76175698,2.58E-49,7.20E-48
ENSG00000007350.17,160.2657739,1.085765492,0.186161323,5.832390289,5.46E-09,1.58E-08
ENSG00000008300.17,3585.160974,1.461272091,0.117239267,12.46401594,1.17E-35,1.74E-34
ENSG00000011677.13,2038.169058,1.061487128,0.141931595,7.478864241,7.50E-14,3.13E-13
ENSG00000013293.6,2469.106538,1.028137634,0.151316889,6.794599346,1.09E-11,3.89E-11
ENSG00000038295.8,130.4752559,1.531582173,0.196629722,7.789169176,6.75E-15,3.04E-14
ENSG00000041515.16,1515.814974,1.152509513,0.126458496,9.113737309,7.96E-20,4.97E-19
ENSG00000056487.16,1270.346586,1.176526151,0.078234134,15.03852722,4.11E-51,1.24E-49
ENSG00000057149.16,1.07187103,1.861523571,0.624034997,2.983043546,0.002853974,0.00479937
ENSG00000057593.14,60.51605369,1.294876301,0.158986978,8.144543159,3.81E-16,1.87E-15
ENSG00000061938.20,21592.82392,1.396720631,0.091827657,15.21023924,3.02E-52,9.55E-51
ENSG00000063515.3,19.23241778,3.63017896,0.250651236,14.48298845,1.55E-47,4.05E-46
ENSG00000064309.14,537.6411308,1.152292367,0.131648382,8.75280313,2.08E-18,1.18E-17
ENSG00000064989.13,6783.40474,2.197357651,0.100915177,21.77430308,4.07E-105,1.01E-102
ENSG00000065911.13,4510.502099,1.600078939,0.106254394,15.05894378,3.02E-51,9.13E-50
ENSG00000066735.14,1141.992334,1.629321589,0.130759774,12.46041911,1.23E-35,1.82E-34
